longitude,latitude,time,10u,10v,100u,100v,msl,swvl1,geo500,2t
129.5,36.0,1940-09-01,-0.992675785,-1.83032225,-1.4261474299999999,-2.163002,101300.0325,0.13630272999999998,57278.9005,23.278595
129.5,36.0,1940-09-07,-4.3626023499999995,-7.678032,-5.8254471500000005,-9.9515155,100760.25,0.18197181,56582.415,20.387482
129.5,36.0,1940-09-13,-3.0940551999999997,-1.53811645,-3.92845915,-1.675537085,101796.25,0.17923456,57665.935,20.719635
129.5,36.0,1940-09-19,-0.45141600000000004,-1.727478005,-0.587753295,-1.8948745699999998,101802.2825,0.15935547,56300.33,18.471527000000002
129.5,36.0,1940-09-25,-0.578536975,-1.997528075,-0.992629985,-2.3788375,101221.03,0.141549085,56592.8965,18.9841615
129.5,36.0,1940-10-01,0.70729829,1.261970513,0.98813628,1.87444306,101701.1575,0.13884823000000002,56935.795,18.577911
129.5,36.0,1940-10-07,3.1286698,-0.7785110435,4.34172055,-1.29014587,101340.095,0.165992725,55685.557499999995,17.01651
129.5,36.0,1940-10-13,0.28214265000000005,0.9276885850000001,0.1677322000000001,1.370780925,101721.2825,0.15869645,56319.414000000004,17.3977355
129.5,36.0,1940-10-19,0.91500089285,1.1565552000000001,0.95028687,1.426239,101569.7825,0.14052084,56232.1855,16.684722999999998
129.5,36.0,1940-10-25,7.9067609999999995,-2.1132431,10.2517775,-2.81754305,101432.5625,0.18393595499999998,54370.537,9.4923405
129.5,36.0,1940-11-01,2.0398331,0.6892242325,2.9056091,0.7716446000000001,102011.22,0.16021531,56030.53,15.6712955
129.5,36.0,1940-11-07,5.8545913,-3.2101516500000002,7.6141585,-4.20926665,101869.125,0.176206725,55406.3925,9.50601215
129.5,36.0,1940-11-13,5.1849823,3.6489715,6.940315,4.5402374000000005,101299.94,0.15308016,53736.324,10.543243499999999
129.5,36.0,1940-11-19,3.06562805,2.71417235,4.58072665,3.7645109999999997,101916.3425,0.141943855,55326.866500000004,11.155304
129.5,36.0,1940-11-25,4.02247625,-2.5364151,5.267708,-3.4921188499999998,102192.0625,0.133503855,54605.9315,6.3396301
129.5,36.0,1940-12-01,2.6536636500000004,1.52872465,3.5382309000000003,2.115074175,101480.595,0.128218685,53687.164000000004,5.846588000000001
129.5,36.0,1940-12-07,5.0345382,-1.560859703,7.04262565,-2.201477065,101643.405,0.126435765,54779.0685,7.8204652999999995
129.5,36.0,1940-12-13,3.20908355,1.8762512,4.2200928,2.5840072999999997,101518.0,0.123726012,53365.584,6.731353650000001
129.5,36.0,1940-12-19,4.27719115,-3.165062,5.390083300000001,-4.08317565,102526.0325,0.119882685,53301.3865,1.56365967
129.5,36.0,1940-12-25,6.0607605,-2.72666165,7.9470065,-3.66782375,102299.5,0.1446811,54061.3845,0.41384888999999997
129.5,36.0,1941-01-01,3.2348862,-0.62781524,4.1632538,-0.9269637850000001,102387.625,0.129827845,54268.748,2.17935179
129.5,36.0,1941-01-07,-2.9661255,-2.1660919,-4.33202375,-2.57951355,101986.345,0.135721865,54161.422,7.725616649999999
129.5,36.0,1941-01-13,6.3535613,-2.82886505,7.9039307,-3.63442995,102218.0625,0.134285515,52678.987,-4.03335575
129.5,36.0,1941-01-19,5.2299882,-2.13885496,6.96560665,-2.99925235,100804.9675,0.13531747500000002,52693.094,2.56155395
129.5,36.0,1941-01-25,6.4587936,-2.6261901500000002,8.01999675,-3.3093949,102630.7825,0.14014283,51961.223,-6.78036485
129.5,36.0,1941-02-01,5.7283172,-2.2060318,7.34603115,-2.93975065,102961.78,0.1416767,52443.629,-8.16165185
129.5,36.0,1941-02-07,6.04831685,-3.1975555,7.9571609500000005,-4.19409175,102557.6875,0.14340844000000003,52548.077000000005,-5.6078795
129.5,36.0,1941-02-13,-1.9063034,-1.5334014999999999,-2.1848984000000002,-1.70007325,102752.25,0.15478804499999999,53885.62300000001,1.28579715
129.5,36.0,1941-02-19,0.7351532000000001,0.46266175000000004,0.748085,0.70324708,101765.845,0.157802635,54532.255,2.64395135
129.5,36.0,1941-02-25,-0.36665344499999997,-0.01759334999999984,-0.75757597,0.07138825000000004,102441.25,0.145979325,54272.892,2.22024535
129.5,36.0,1941-03-01,0.8632126,-1.7646408,0.8103333500000001,-1.75115205,102209.25,0.13775289000000002,53786.884999999995,2.052276635
129.5,36.0,1941-03-07,4.4705964,-1.34926605,6.944023250000001,-2.4760360500000003,101202.095,0.18609093,53870.207,7.0628967
129.5,36.0,1941-03-13,1.8449173,1.2461014,2.53245545,1.8140640300000002,102228.155,0.17702383500000002,54440.7245,5.8402405
129.5,36.0,1941-03-19,3.0846863,1.6695175500000001,5.6394423499999995,1.717247035,101000.625,0.14735771,54648.348,9.3714905
